"Time","EventSeriesID","TaskType","ObjectType","ObjectName","ObjectID","Warning"
"2021-08-25T15:49:59.176Z","fbde85bc-1958-4c9a-a83c-2f3d8a29d2e9","Backup","VmwareVm","am1-ericchan-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-97","Cannot establish a connection with the Rubrik Backup Service. Reason: socket open() error: Connection refused"
"2021-08-25T15:49:59.176Z","fbde85bc-1958-4c9a-a83c-2f3d8a29d2e9","Backup","VmwareVm","am1-ericchan-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-97","Cannot find a guest credential that permits a VSS consistent snapshot on this virtual machine. Taking a crash consistent snapshot instead"
"2021-08-25T15:49:59.176Z","fbde85bc-1958-4c9a-a83c-2f3d8a29d2e9","Backup","VmwareVm","am1-ericchan-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-97","Change block tracking has been reset for am1-ericchan-w1."
"2021-08-25T15:49:59.176Z","fbde85bc-1958-4c9a-a83c-2f3d8a29d2e9","Backup","VmwareVm","am1-ericchan-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-97","Change block tracking has been reset from virtual machine 'am1-ericchan-w1'. Next backup is going to be a full backup of this disk"
"2021-08-25T15:49:59.176Z","fbde85bc-1958-4c9a-a83c-2f3d8a29d2e9","Backup","VmwareVm","am1-ericchan-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-97","Cannot establish a connection with the Rubrik Backup Service. Reason: socket open() error: Connection refused"
"2021-08-25T15:49:59.176Z","fbde85bc-1958-4c9a-a83c-2f3d8a29d2e9","Backup","VmwareVm","am1-ericchan-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-97","Cannot find a guest credential that permits a VSS consistent snapshot on this virtual machine. Taking a crash consistent snapshot instead"
"2021-08-25T15:49:59.176Z","fbde85bc-1958-4c9a-a83c-2f3d8a29d2e9","Backup","VmwareVm","am1-ericchan-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-97","Taking a full backup of disk '[amer1-personal01-purex50] am1-ericchan-w1/am1-ericchan-w1.vmdk' from virtual machine 'am1-ericchan-w1' because the current change id was not found. In particular this happens whenever change block tracking is reset"
"2021-08-25T15:55:08.068Z","a342afc2-f842-406b-9261-a4c36aaab1ca","Backup","VmwareVm","am1-jeffinou-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-4497","Cannot establish a connection with the Rubrik Backup Service. Reason: socket open() error: Connection refused"
"2021-08-25T15:55:08.068Z","a342afc2-f842-406b-9261-a4c36aaab1ca","Backup","VmwareVm","am1-jeffinou-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-4497","Cannot find a guest credential that permits a VSS consistent snapshot on this virtual machine. Taking a crash consistent snapshot instead"
"2021-08-25T15:55:08.068Z","a342afc2-f842-406b-9261-a4c36aaab1ca","Backup","VmwareVm","am1-jeffinou-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-4497","Change block tracking has been reset for am1-jeffinou-w1."
"2021-08-25T15:55:08.068Z","a342afc2-f842-406b-9261-a4c36aaab1ca","Backup","VmwareVm","am1-jeffinou-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-4497","Change block tracking has been reset from virtual machine 'am1-jeffinou-w1'. Next backup is going to be a full backup of this disk"
"2021-08-25T15:55:08.068Z","a342afc2-f842-406b-9261-a4c36aaab1ca","Backup","VmwareVm","am1-jeffinou-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-4497","Cannot establish a connection with the Rubrik Backup Service. Reason: socket open() error: Connection refused"
"2021-08-25T15:55:08.068Z","a342afc2-f842-406b-9261-a4c36aaab1ca","Backup","VmwareVm","am1-jeffinou-w1","VirtualMachine:::5ed1b046-0bd9-4468-a67c-3293f15f27ed-vm-4497","Cannot find a guest credential that permits a VSS consistent snapshot on this virtual machine. Taking a crash consistent snapshot instead"
